FEATURE AREA,FEATURE AREA COVERAGE
Commissioning-BTS Settings (except toggle fault),50.67%
Commissioning-Local Cell Group,35.61%
Commissioning-LTE Carrier,30.60%
Commissioning-Local Cell Resource,26.60%
Commissioning-Local Cell Settings,0.00%
"Commissioning EAC (System Module External Fault and Control Settings), EAC for FHS, EAC in XLF XLC",31.43%
Commissioning-Site Testing,20.30%
Commissioning-Module Settings,43.75%
Commissioning-Configuration Change Notifications (CCNs),69.57%
Commissioning-ALD area,44.47%
Commissioning-BTS Synchronization Settings,53.68%
Commissioning-LTE Commissioning Radio Network Configuration (PDDB)/Commissioning-RNW,39.28%
Commissioning-Concurrent Mode Settings,24.54%
Commissioning-Additional Site Settings,39.68%






FEATURE AREA,FEATURE AREA COVERAGE,CLASS,CLASS COVERAGE,LINE_MISSED,LINE_COVERED,METHOD_MISSED,METHOD_COVERED
Commissioning-BTS Settings (except toggle fault),50.67%,com.hahaqu.em.bts.gui.lte.commissioning.model.LTEBTSSettingsModel,71.01%,40,98,5,38
,,com.hahaqu.em.bts.gui.lte.commissioning.model.MicroBTSSettingsModel,0.00%,134,0,44,0
,,com.hahaqu.em.bts.gui.lte.commissioning.model.MicroBTSSettingsModel$1,0.00%,1,0,1,0
,,com.hahaqu.em.bts.gui.lte.commissioning.model.MicroBTSSettingsModel$DetectionMethodsBitValue,0.00%,2,0,4,0
,,com.hahaqu.em.bts.gui.lte.commissioning.model.MicroBTSSettingsModel$DetectionMethodsBits,0.00%,2,0,4,0
,,com.hahaqu.em.bts.common.commissioning.model.mdinitializer.BTSSettingsRAMLMetadataInitializer,66.67%,2,4,1,2
,,com.hahaqu.em.bts.gui.lte.commissioning.model.initializer.LTEBTSSettingsRAMLMetadataInitializer,96.85%,4,123,0,8
,,com.hahaqu.em.bts.gui.lte.commissioning.model.initializer.MicroBTSSettingsRAMLMetadataInitializer,0.00%,52,0,6,0
,,com.hahaqu.em.bts.gui.lte.commissioning.model.scfprocessor.LTEBTSSettingsSCFProcessor,95.77%,6,136,0,12
,,com.hahaqu.em.bts.gui.lte.commissioning.model.scfprocessor.MicroBTSSettingsSCFProcessor,0.00%,53,0,6,0
,,com.hahaqu.em.bts.common.commissioning.model.BTSSettingsModel,68.75%,75,165,29,59
,,com.hahaqu.em.bts.common.commissioning.model.BTSSettingsModel$MySCFDeliveryListener,12.50%,7,1,5,1
,,com.hahaqu.em.bts.gui.lte.commissioning.model.validator.current.MicroBTSSettingsModelValidator,0.00%,3,0,2,0
,,com.hahaqu.em.bts.common.commissioning.model.validator.BTSSettingsModelValidator,57.14%,3,4,0,2
,,com.hahaqu.em.bts.common.commissioning.view.BTSSettingsView$PassiveUnitsHandler,100.00%,0,3,0,2
,,com.hahaqu.em.bts.common.commissioning.view.BTSSettingsView,82.30%,40,186,17,21
,,com.hahaqu.em.bts.common.commissioning.view.BTSSettingsView$TimeZoneListSelectionHandler,100.00%,0,3,0,2
,,com.hahaqu.em.bts.common.commissioning.view.BTSSettingsView$4,20.00%,4,1,1,1
,,com.hahaqu.em.bts.common.commissioning.view.BTSSettingsView$3,25.00%,3,1,1,1
,,com.hahaqu.em.bts.common.commissioning.view.BTSSettingsView$5,100.00%,0,3,0,2
,,com.hahaqu.em.bts.common.commissioning.view.BTSSettingsView$2,25.00%,3,1,1,1
